days,fips,tot_cases,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
202,12,355899,10287,90,-23,-14,-20,-42,-37,11,5072,5085.973
320,37,312235,3117,50,-14,-4,13,-28,-14,3,4806,4782.716
324,28,140429,1638,23,-11,-5,2,4,-19,5,3642,3560.408
184,28,28770,0,0,10,13,41,10,-31,7,1092,1071.974
250,45,124952,663,10,0,5,96,3,-20,1,2887,2723.596
248,28,85939,823,22,-8,-3,30,13,-26,4,2558,2535.357
68,45,6,4,0,12,7,38,24,2,-1,0,0.0
164,45,17170,729,5,-6,5,44,4,-29,8,593,624.863
146,13,41622,532,3,-23,-4,67,-51,-70,20,1830,1703.234
155,21,10410,225,8,-3,16,98,-10,-32,9,450,451.6
97,37,2870,285,2,-36,-10,22,-46,-44,16,33,47.439
199,47,73819,2279,19,-9,1,89,-9,-32,8,815,863.114
78,37,62,22,0,-22,9,28,-23,-25,10,0,0.767
84,1,242,46,0,-32,-5,4,-18,-34,15,0,2.332
121,28,7212,643,32,-10,6,15,-14,-35,12,282,268.556
152,37,28590,916,9,-15,1,75,-25,-15,4,886,877.473
237,37,158678,1389,4,-15,-3,48,-26,-33,8,2535,2543.95
212,13,186426,4183,29,-11,-3,18,-33,-38,11,3671,3676.649
105,12,20984,590,72,-46,-23,-52,-56,-48,20,571,630.405
161,51,52177,439,18,-15,1,85,-33,-39,13,1514,1546.643
318,12,858585,6760,73,-21,-12,-24,-37,-27,8,17445,17523.407
247,51,124779,1111,10,-11,0,59,-29,-39,10,2662,2568.896
230,1,109004,571,27,-9,-2,30,-3,-29,6,1925,2008.56
98,37,3221,351,13,-36,-9,24,-44,-45,18,46,62.489
123,28,7441,229,10,-16,8,28,-15,-22,6,291,287.506
120,28,6569,0,0,-11,2,-7,-18,-37,14,250,226.647
121,47,10735,603,7,-18,2,0,-25,-39,14,199,228.854
135,13,33657,326,22,-17,-2,21,-40,-40,15,1527,1479.389
330,51,228901,2600,21,2,28,25,-26,-43,11,4029,3986.068
91,1,999,52,7,-36,-11,-23,-26,-40,17,13,25.705
302,1,187706,1269,19,-13,-3,-15,-14,-24,7,2911,2929.564
273,1,153554,571,16,-11,-7,9,-10,-22,6,2517,2521.723
282,47,209447,1992,63,-8,-2,69,-9,-27,5,2705,2702.999
88,21,394,92,1,-38,-6,100,-28,-29,9,9,6.564
202,45,71445,1459,9,-7,1,47,-6,-31,8,1164,1240.619
104,28,3087,145,13,-27,-9,-14,-28,-40,14,111,89.222
287,28,106817,876,25,-8,-3,27,6,-20,4,3140,3094.136
193,21,19121,451,2,-12,9,211,11,-9,1,622,672.938
289,13,358533,1864,22,-11,-4,22,-29,-30,8,7492,7462.946
233,13,254163,2939,55,-16,-8,-2,-33,-35,11,4904,4749.467
120,1,7105,158,17,-22,-4,-11,-24,-39,16,260,238.424
172,45,23786,1155,5,-4,15,104,17,-8,1,644,673.637
238,12,599176,2665,183,-25,-15,-26,-42,-35,10,10580,10424.64
96,12,11961,788,26,-57,-33,-70,-70,-45,15,221,260.811
282,45,154755,1050,12,-7,-3,36,0,-24,6,3514,3441.885
104,13,13289,1086,34,-38,-16,-6,-52,-48,18,481,450.794
267,1,147153,569,31,-8,-5,14,-7,-24,6,2488,2490.427
248,1,130393,1108,33,-5,1,40,7,-29,5,2266,2327.833
239,37,161466,1342,36,-13,-3,50,-27,-32,8,2606,2585.64
327,45,206295,1277,9,-8,0,6,4,-11,3,4283,4236.758
315,21,124646,2079,14,-13,-1,37,-7,-26,7,1590,1626.208
248,51,125727,948,15,-12,1,85,-26,-40,10,2677,2633.078
90,1,947,117,2,-33,-10,10,-25,-38,14,6,13.985
126,28,8422,215,32,-5,11,15,-10,-33,11,374,346.62
231,21,40299,608,12,-11,1,65,-11,-30,7,830,859.707
273,28,98190,1141,48,-8,-4,24,3,-18,4,2969,2861.115
185,12,175718,9415,67,-19,0,-6,-42,-53,16,3684,3410.584
184,51,63735,532,30,-2,12,112,-23,-41,10,1816,1570.331
171,21,13454,257,2,-8,9,147,-5,-33,6,522,536.462
218,1,94819,972,30,-2,4,51,0,-30,7,1698,1826.905
169,47,32143,313,4,1,8,98,-12,-29,7,497,509.85
131,45,7653,122,1,-17,11,26,-14,-26,4,331,327.28
314,13,406904,1648,29,-15,-7,12,-32,-27,8,8223,8253.398
234,37,154018,2075,29,-15,-4,46,-26,-33,9,2494,2477.67
265,28,94021,465,36,-7,-7,20,2,-21,4,2846,2839.905
333,37,357958,3444,9,-20,-12,41,-24,-17,4,5219,5182.502
218,12,497181,5408,225,-23,-16,-21,-42,-37,11,7627,7582.441
237,13,264540,2441,24,-18,-9,7,-35,-34,10,5156,5040.633
88,45,660,121,2,-35,-4,12,-32,-25,9,15,10.157
148,45,10623,207,20,-11,-3,-4,-6,-31,12,466,474.233
182,45,36399,1755,19,0,6,48,1,-30,9,739,815.361
327,1,232506,1798,0,-12,0,15,-1,-12,3,3457,3469.43
289,28,109255,1116,8,-9,-5,16,8,-18,4,3160,3144.765
139,21,7935,247,12,-22,-3,3,-25,-36,14,346,348.773
242,21,47577,820,3,-12,3,135,-2,-9,2,921,930.326
163,37,39483,1310,11,-11,2,46,-27,-33,11,1064,1251.093
282,51,156649,1114,16,-15,-3,62,-30,-35,10,3344,3333.373
100,12,16323,1089,48,-46,-21,-46,-58,-50,21,371,432.852
237,51,114636,1006,24,-15,-6,56,-35,-38,11,2495,2541.168
170,45,21548,992,4,-2,5,63,4,-28,8,621,663.501
332,1,242874,917,0,-21,-16,12,-30,-59,17,3572,3861.122
100,13,10693,613,42,-37,-10,-10,-51,-51,21,413,367.283
103,1,3583,321,1,-64,-47,-50,-51,-45,13,61,71.775
140,28,11967,263,15,0,7,34,-5,-28,9,570,525.163
197,13,129193,4102,37,-8,-1,38,-31,-38,11,3091,3029.55
