days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
121,47,603,7,-18,2,0,-25,-39,14,10735,11382.532
135,13,326,22,-17,-2,21,-40,-40,15,33657,22384.129
330,51,2600,21,2,28,25,-26,-43,11,228901,233714.354
91,1,52,7,-36,-11,-23,-26,-40,17,999,910.089
302,1,1269,19,-13,-3,-15,-14,-24,7,187706,230750.809
273,1,571,16,-11,-7,9,-10,-22,6,153554,153008.99
282,47,1992,63,-8,-2,69,-9,-27,5,209447,245135.271
88,21,92,1,-38,-6,100,-28,-29,9,394,628.397
202,45,1459,9,-7,1,47,-6,-31,8,71445,72796.775
104,28,145,13,-27,-9,-14,-28,-40,14,3087,3620.724
287,28,876,25,-8,-3,27,6,-20,4,106817,106555.996
193,21,451,2,-12,9,211,11,-9,1,19121,21367.881
289,13,1864,22,-11,-4,22,-29,-30,8,358533,357745.679
233,13,2939,55,-16,-8,-2,-33,-35,11,254163,333245.209
120,1,158,17,-22,-4,-11,-24,-39,16,7105,5821.538
172,45,1155,5,-4,15,104,17,-8,1,23786,27765.701
238,12,2665,183,-25,-15,-26,-42,-35,10,599176,589725.699
96,12,788,26,-57,-33,-70,-70,-45,15,11961,10933.192
282,45,1050,12,-7,-3,36,0,-24,6,154755,156503.699
104,13,1086,34,-38,-16,-6,-52,-48,18,13289,14080.611
267,1,569,31,-8,-5,14,-7,-24,6,147153,146957.514
248,1,1108,33,-5,1,40,7,-29,5,130393,128708.402
239,37,1342,36,-13,-3,50,-27,-32,8,161466,160309.727
327,45,1277,9,-8,0,6,4,-11,3,206295,200014.662
315,21,2079,14,-13,-1,37,-7,-26,7,124646,141798.978
248,51,948,15,-12,1,85,-26,-40,10,125727,124256.08
90,1,117,2,-33,-10,10,-25,-38,14,947,890.2
126,28,215,32,-5,11,15,-10,-33,11,8422,8973.039
231,21,608,12,-11,1,65,-11,-30,7,40299,49586.949
273,28,1141,48,-8,-4,24,3,-18,4,98190,98471.986
185,12,9415,67,-19,0,-6,-42,-53,16,175718,204874.07
184,51,532,30,-2,12,112,-23,-41,10,63735,62607.594
171,21,257,2,-8,9,147,-5,-33,6,13454,13645.3
218,1,972,30,-2,4,51,0,-30,7,94819,88729.582
169,47,313,4,1,8,98,-12,-29,7,32143,28475.983
131,45,122,1,-17,11,26,-14,-26,4,7653,7664.777
314,13,1648,29,-15,-7,12,-32,-27,8,406904,404066.383
234,37,2075,29,-15,-4,46,-26,-33,9,154018,155382.188
265,28,465,36,-7,-7,20,2,-21,4,94021,93909.824
333,37,3444,9,-20,-12,41,-24,-17,4,357958,347309.146
218,12,5408,225,-23,-16,-21,-42,-37,11,497181,490927.469
237,13,2441,24,-18,-9,7,-35,-34,10,264540,257566.692
88,45,121,2,-35,-4,12,-32,-25,9,660,739.995
148,45,207,20,-11,-3,-4,-6,-31,12,10623,12116.749
182,45,1755,19,0,6,48,1,-30,9,36399,39522.137
327,1,1798,0,-12,0,15,-1,-12,3,232506,211929.3
289,28,1116,8,-9,-5,16,8,-18,4,109255,109773.008
139,21,247,12,-22,-3,3,-25,-36,14,7935,12190.58
242,21,820,3,-12,3,135,-2,-9,2,47577,48066.144
163,37,1310,11,-11,2,46,-27,-33,11,39483,45900.104
282,51,1114,16,-15,-3,62,-30,-35,10,156649,158170.821
100,12,1089,48,-46,-21,-46,-58,-50,21,16323,15531.521
237,51,1006,24,-15,-6,56,-35,-38,11,114636,118065.674
170,45,992,4,-2,5,63,4,-28,8,21548,25105.009
332,1,917,0,-21,-16,12,-30,-59,17,242874,369548.462
100,13,613,42,-37,-10,-10,-51,-51,21,10693,10637.103
103,1,321,1,-64,-47,-50,-51,-45,13,3583,6298.149
140,28,263,15,0,7,34,-5,-28,9,11967,11979.144
197,13,4102,37,-8,-1,38,-31,-38,11,129193,131978.895
