days,fips,new_case,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
285,45,785,3552,1,-11,-5,3,6,-16,4,157406,151986.924
206,1,1792,1439,40,-11,-3,37,0,-30,10,76136,73349.646
284,45,945,3551,21,-12,-3,31,-5,-10,3,156621,159669.105
319,28,969,3543,3,-10,-6,23,6,-11,2,134309,135764.943
202,12,10287,5072,90,-23,-14,-20,-42,-37,11,355899,342720.586
320,37,3117,4806,50,-14,-4,13,-28,-14,3,312235,311529.496
324,28,1638,3642,23,-11,-5,2,4,-19,5,140429,154259.759
184,28,0,1092,0,10,13,41,10,-31,7,28770,30502.351
250,45,663,2887,10,0,5,96,3,-20,1,124952,119132.482
248,28,823,2558,22,-8,-3,30,13,-26,4,85939,87590.392
68,45,4,0,0,12,7,38,24,2,-1,6,7.553
164,45,729,593,5,-6,5,44,4,-29,8,17170,17955.275
146,13,532,1830,3,-23,-4,67,-51,-70,20,41622,42038.592
155,21,225,450,8,-3,16,98,-10,-32,9,10410,10738.87
97,37,285,33,2,-36,-10,22,-46,-44,16,2870,2151.883
199,47,2279,815,19,-9,1,89,-9,-32,8,73819,70671.681
78,37,22,0,0,-22,9,28,-23,-25,10,62,93.912
84,1,46,0,0,-32,-5,4,-18,-34,15,242,344.579
121,28,643,282,32,-10,6,15,-14,-35,12,7212,8300.521
152,37,916,886,9,-15,1,75,-25,-15,4,28590,27660.05
237,37,1389,2535,4,-15,-3,48,-26,-33,8,158678,154562.177
212,13,4183,3671,29,-11,-3,18,-33,-38,11,186426,185725.71
105,12,590,571,72,-46,-23,-52,-56,-48,20,20984,17278.94
161,51,439,1514,18,-15,1,85,-33,-39,13,52177,51944.504
318,12,6760,17445,73,-21,-12,-24,-37,-27,8,858585,865789.877
247,51,1111,2662,10,-11,0,59,-29,-39,10,124779,125439.629
230,1,571,1925,27,-9,-2,30,-3,-29,6,109004,107079.714
98,37,351,46,13,-36,-9,24,-44,-45,18,3221,2713.975
123,28,229,291,10,-16,8,28,-15,-22,6,7441,7286.552
120,28,0,250,0,-11,2,-7,-18,-37,14,6569,6601.601
121,47,603,199,7,-18,2,0,-25,-39,14,10735,10569.284
135,13,326,1527,22,-17,-2,21,-40,-40,15,33657,34847.194
330,51,2600,4029,21,2,28,25,-26,-43,11,228901,230991.063
91,1,52,13,7,-36,-11,-23,-26,-40,17,999,753.353
302,1,1269,2911,19,-13,-3,-15,-14,-24,7,187706,181706.415
273,1,571,2517,16,-11,-7,9,-10,-22,6,153554,152544.609
282,47,1992,2705,63,-8,-2,69,-9,-27,5,209447,215068.339
88,21,92,9,1,-38,-6,100,-28,-29,9,394,650.063
202,45,1459,1164,9,-7,1,47,-6,-31,8,71445,67564.157
104,28,145,111,13,-27,-9,-14,-28,-40,14,3087,3445.817
287,28,876,3140,25,-8,-3,27,6,-20,4,106817,109872.51
193,21,451,622,2,-12,9,211,11,-9,1,19121,19980.524
289,13,1864,7492,22,-11,-4,22,-29,-30,8,358533,356549.946
233,13,2939,4904,55,-16,-8,-2,-33,-35,11,254163,262052.896
120,1,158,260,17,-22,-4,-11,-24,-39,16,7105,6119.201
172,45,1155,644,5,-4,15,104,17,-8,1,23786,24473.303
238,12,2665,10580,183,-25,-15,-26,-42,-35,10,599176,597537.887
96,12,788,221,26,-57,-33,-70,-70,-45,15,11961,10145.402
282,45,1050,3514,12,-7,-3,36,0,-24,6,154755,155391.399
104,13,1086,481,34,-38,-16,-6,-52,-48,18,13289,14238.111
267,1,569,2488,31,-8,-5,14,-7,-24,6,147153,150801.194
248,1,1108,2266,33,-5,1,40,7,-29,5,130393,121137.796
239,37,1342,2606,36,-13,-3,50,-27,-32,8,161466,157194.25
327,45,1277,4283,9,-8,0,6,4,-11,3,206295,201942.236
315,21,2079,1590,14,-13,-1,37,-7,-26,7,124646,124893.927
248,51,948,2677,15,-12,1,85,-26,-40,10,125727,126970.901
90,1,117,6,2,-33,-10,10,-25,-38,14,947,890.073
126,28,215,374,32,-5,11,15,-10,-33,11,8422,8505.721
231,21,608,830,12,-11,1,65,-11,-30,7,40299,40573.05
273,28,1141,2969,48,-8,-4,24,3,-18,4,98190,106725.461
185,12,9415,3684,67,-19,0,-6,-42,-53,16,175718,183861.558
184,51,532,1816,30,-2,12,112,-23,-41,10,63735,64631.332
171,21,257,522,2,-8,9,147,-5,-33,6,13454,13491.322
218,1,972,1698,30,-2,4,51,0,-30,7,94819,86299.112
169,47,313,497,4,1,8,98,-12,-29,7,32143,29857.912
131,45,122,331,1,-17,11,26,-14,-26,4,7653,7554.427
314,13,1648,8223,29,-15,-7,12,-32,-27,8,406904,403646.932
234,37,2075,2494,29,-15,-4,46,-26,-33,9,154018,152193.215
265,28,465,2846,36,-7,-7,20,2,-21,4,94021,99499.259
333,37,3444,5219,9,-20,-12,41,-24,-17,4,357958,353931.136
218,12,5408,7627,225,-23,-16,-21,-42,-37,11,497181,491413.683
237,13,2441,5156,24,-18,-9,7,-35,-34,10,264540,270698.142
88,45,121,15,2,-35,-4,12,-32,-25,9,660,817.677
148,45,207,466,20,-11,-3,-4,-6,-31,12,10623,10926.803
182,45,1755,739,19,0,6,48,1,-30,9,36399,37425.634
327,1,1798,3457,0,-12,0,15,-1,-12,3,232506,203875.267
289,28,1116,3160,8,-9,-5,16,8,-18,4,109255,113328.501
139,21,247,346,12,-22,-3,3,-25,-36,14,7935,8872.086
242,21,820,921,3,-12,3,135,-2,-9,2,47577,47158.432
163,37,1310,1064,11,-11,2,46,-27,-33,11,39483,38315.087
282,51,1114,3344,16,-15,-3,62,-30,-35,10,156649,158144.233
100,12,1089,371,48,-46,-21,-46,-58,-50,21,16323,13875.547
237,51,1006,2495,24,-15,-6,56,-35,-38,11,114636,114820.433
170,45,992,621,4,-2,5,63,4,-28,8,21548,22956.168
332,1,917,3572,0,-21,-16,12,-30,-59,17,242874,167606.358
100,13,613,413,42,-37,-10,-10,-51,-51,21,10693,10915.205
103,1,321,61,1,-64,-47,-50,-51,-45,13,3583,3538.921
140,28,263,570,15,0,7,34,-5,-28,9,11967,12846.726
197,13,4102,3091,37,-8,-1,38,-31,-38,11,129193,127439.929
